image,class,confidence,inference_time_s
bus.jpg,person,0.993,0.4626
bus.jpg,person,0.934,0.4626
bus.jpg,person,0.783,0.4626
bus.jpg,bus,0.663,0.4626
bus.jpg,skateboard,0.433,0.4626
dog.jpg,dog,0.87,0.1102
dog.jpg,truck,0.815,0.1102
dog.jpg,bicycle,0.606,0.1102
eagle.jpg,bird,0.874,0.1049
eagle.jpg,bird,0.525,0.1049
giraffe.jpg,giraffe,0.852,0.0983
giraffe.jpg,zebra,0.746,0.0983
horses.jpg,cow,0.965,0.0927
horses.jpg,horse,0.88,0.0927
horses.jpg,horse,0.719,0.0927
horses.jpg,horse,0.409,0.0927
kite.jpg,kite,0.992,0.106
kite.jpg,person,0.948,0.106
kite.jpg,person,0.917,0.106
person.jpg,person,0.994,0.096
person.jpg,dog,0.985,0.096
person.jpg,horse,0.779,0.096
zidane.jpg,person,0.762,0.0923
zidane.jpg,tie,0.491,0.0923
